año,mes,punto_cruce,cantidad_ciclistas,Calle 1,Calle 2,Calle 1 Id,Calle 2 Id,Mes Id
2012,Enero,Billinghurst y Peron,1981,Billinghurst,Peron,5,28,1
2012,Enero,Del Libertador y Montevideo,1673,Del Libertador,Montevideo,6,10,1
2012,Enero,Corredor Norte y Casares,2906,Corredor Norte,Casares,7,29,1
2012,Enero,EEUU y 33 Orientales,751,EEUU,33 Orientales,8,30,1
2012,Enero,F. Alcorta y Derecho,834,F. Alcorta,Derecho,9,31,1
2012,Enero,Montevideo y Peron,1043,Montevideo,Peron,10,28,1
2012,Enero,Potosi y Rawson,745,Potosi,Rawson,17,33,1
2012,Enero,J. Alvarez y Padilla,383,J. Alvarez,Padilla,18,34,1
2012,Enero,Chile y Tacuari,680,Chile,Tacuari,19,35,1
2012,Enero,Serrano y Loyola,890,Serrano,Loyola,20,36,1
2012,Enero,Gorriti y G. Cruz,1615,Gorriti,G. Cruz,21,37,1
2012,Enero,Cnel. Diaz y Mansilla,719,Cnel. Diaz,Mansilla,11,32,1
2012,Enero,11 de Sep y Monroe,401,11 de Sep,Monroe,22,38,1
2012,Enero,Arenales y Montevideo,459,Arenales,Montevideo,12,10,1
2012,Febrero,Virrey Cevallos y Chile,884,Virrey Cevallos,Chile,1,19,2
2012,Febrero,Azopardo y Mexico,547,Azopardo,Mexico,2,25,2
2012,Febrero,Rincon y Carlos Calvo,1546,Rincon,Carlos Calvo,3,26,2
2012,Febrero,Virrey Liniers y C.Calvo,982,Virrey Liniers,C.Calvo,4,27,2
2012,Febrero,Billinghurst y Peron,2008,Billinghurst,Peron,5,28,2
2012,Febrero,Del Libertador y Montevideo,1222,Del Libertador,Montevideo,6,10,2
2012,Febrero,Corredor Norte y Casares,1839,Corredor Norte,Casares,7,29,2
2012,Febrero,EEUU y 33 Orientales,681,EEUU,33 Orientales,8,30,2
2012,Febrero,F. Alcorta y Derecho,1436,F. Alcorta,Derecho,9,31,2
2012,Febrero,Montevideo y Peron,1080,Montevideo,Peron,10,28,2
2012,Febrero,Potosi y Rawson,576,Potosi,Rawson,17,33,2
2012,Febrero,J. Alvarez y Padilla,409,J. Alvarez,Padilla,18,34,2
2012,Febrero,Chile y Tacuari,794,Chile,Tacuari,19,35,2
2012,Febrero,Serrano y Loyola,1057,Serrano,Loyola,20,36,2
2012,Febrero,Gorriti y G. Cruz,1634,Gorriti,G. Cruz,21,37,2
2012,Febrero,Cnel. Diaz y Mansilla,1047,Cnel. Diaz,Mansilla,11,32,2
2012,Febrero,11 de Sep y Monroe,445,11 de Sep,Monroe,22,38,2
2012,Febrero,Arenales y Montevideo,446,Arenales,Montevideo,12,10,2
2012,Marzo,Virrey Cevallos y Chile,1744,Virrey Cevallos,Chile,1,19,3
2012,Marzo,Azopardo y Mexico,783,Azopardo,Mexico,2,25,3
2012,Marzo,Rincon y Carlos Calvo,1390,Rincon,Carlos Calvo,3,26,3
2012,Marzo,Virrey Liniers y C.Calvo,867,Virrey Liniers,C.Calvo,4,27,3
2012,Marzo,Billinghurst y Peron,2742,Billinghurst,Peron,5,28,3
2012,Marzo,Del Libertador y Montevideo,1912,Del Libertador,Montevideo,6,10,3
2012,Marzo,Corredor Norte y Casares,3198,Corredor Norte,Casares,7,29,3
2012,Marzo,EEUU y 33 Orientales,1138,EEUU,33 Orientales,8,30,3
2012,Marzo,F. Alcorta y Derecho,1831,F. Alcorta,Derecho,9,31,3
2012,Marzo,Montevideo y Peron,1433,Montevideo,Peron,10,28,3
2012,Marzo,Potosi y Rawson,826,Potosi,Rawson,17,33,3
2012,Marzo,J. Alvarez y Padilla,663,J. Alvarez,Padilla,18,34,3
2012,Marzo,Chile y Tacuari,944,Chile,Tacuari,19,35,3
2012,Marzo,Serrano y Loyola,977,Serrano,Loyola,20,36,3
