Origen,Destino,Distancia[km],Año,Mes,Diferencia de ciclistas,Calle 1 origen,Calle 2 origen,Calle 1 origen id,Calle 2 origen id,Calle 1 destino,Calle 2 destino,Calle 1 destino id,Calle 2 destino id
Del Libertador y Montevideo,Arenales y Montevideo,1.305,2010,Mayo,360,Del Libertador,Montevideo,6,10,Arenales,Montevideo,12,10
Corredor Norte y Casares,EEUU y 33 Orientales,6.495,2010,Mayo,382,Corredor Norte,Casares,7,29,EEUU,33 Orientales,8,30
Corredor Norte y Casares,F. Alcorta y Derecho,2.339,2010,Mayo,-391,Corredor Norte,Casares,7,29,F. Alcorta,Derecho,9,31
Corredor Norte y Casares,Montevideo y Peron,5.064,2010,Mayo,306,Corredor Norte,Casares,7,29,Montevideo,Peron,10,28
Corredor Norte y Casares,Cnel. Diaz y Mansilla,2.538,2010,Mayo,392,Corredor Norte,Casares,7,29,Cnel. Diaz,Mansilla,11,32
Corredor Norte y Casares,Arenales y Montevideo,3.771,2010,Mayo,180,Corredor Norte,Casares,7,29,Arenales,Montevideo,12,10
EEUU y 33 Orientales,F. Alcorta y Derecho,7.169,2010,Mayo,-773,EEUU,33 Orientales,8,30,F. Alcorta,Derecho,9,31
EEUU y 33 Orientales,Montevideo y Peron,4.563,2010,Mayo,-76,EEUU,33 Orientales,8,30,Montevideo,Peron,10,28
EEUU y 33 Orientales,Cnel. Diaz y Mansilla,4.338,2010,Mayo,10,EEUU,33 Orientales,8,30,Cnel. Diaz,Mansilla,11,32
EEUU y 33 Orientales,Arenales y Montevideo,6.144,2010,Mayo,-202,EEUU,33 Orientales,8,30,Arenales,Montevideo,12,10
F. Alcorta y Derecho,Montevideo y Peron,3.26,2010,Mayo,697,F. Alcorta,Derecho,9,31,Montevideo,Peron,10,28
F. Alcorta y Derecho,Cnel. Diaz y Mansilla,3.136,2010,Mayo,783,F. Alcorta,Derecho,9,31,Cnel. Diaz,Mansilla,11,32
F. Alcorta y Derecho,Arenales y Montevideo,1.966,2010,Mayo,571,F. Alcorta,Derecho,9,31,Arenales,Montevideo,12,10
Montevideo y Peron,Cnel. Diaz y Mansilla,3.461,2010,Mayo,86,Montevideo,Peron,10,28,Cnel. Diaz,Mansilla,11,32
Montevideo y Peron,Arenales y Montevideo,1.293,2010,Mayo,-126,Montevideo,Peron,10,28,Arenales,Montevideo,12,10
Cnel. Diaz y Mansilla,Arenales y Montevideo,3.011,2010,Mayo,-212,Cnel. Diaz,Mansilla,11,32,Arenales,Montevideo,12,10
Virrey Cevallos y Chile,Azopardo y Mexico,2.122,2010,Junio,478,Virrey Cevallos,Chile,1,19,Azopardo,Mexico,2,25
Virrey Cevallos y Chile,Rincon y Carlos Calvo,1.005,2010,Junio,-123,Virrey Cevallos,Chile,1,19,Rincon,Carlos Calvo,3,26
Virrey Cevallos y Chile,Virrey Liniers y C.Calvo,2.721,2010,Junio,455,Virrey Cevallos,Chile,1,19,Virrey Liniers,C.Calvo,4,27
Virrey Cevallos y Chile,Billinghurst y Peron,3.611,2010,Junio,21,Virrey Cevallos,Chile,1,19,Billinghurst,Peron,5,28
Virrey Cevallos y Chile,Del Libertador y Montevideo,4.485,2010,Junio,222,Virrey Cevallos,Chile,1,19,Del Libertador,Montevideo,6,10
Virrey Cevallos y Chile,Corredor Norte y Casares,6.849,2010,Junio,277,Virrey Cevallos,Chile,1,19,Corredor Norte,Casares,7,29
Virrey Cevallos y Chile,EEUU y 33 Orientales,3.749,2010,Junio,728,Virrey Cevallos,Chile,1,19,EEUU,33 Orientales,8,30
Virrey Cevallos y Chile,F. Alcorta y Derecho,5.367,2010,Junio,42,Virrey Cevallos,Chile,1,19,F. Alcorta,Derecho,9,31
Virrey Cevallos y Chile,Montevideo y Peron,1.447,2010,Junio,661,Virrey Cevallos,Chile,1,19,Montevideo,Peron,10,28
Virrey Cevallos y Chile,Cnel. Diaz y Mansilla,4.886,2010,Junio,737,Virrey Cevallos,Chile,1,19,Cnel. Diaz,Mansilla,11,32
Virrey Cevallos y Chile,Arenales y Montevideo,2.906,2010,Junio,549,Virrey Cevallos,Chile,1,19,Arenales,Montevideo,12,10
Azopardo y Mexico,Rincon y Carlos Calvo,3.291,2010,Junio,-601,Azopardo,Mexico,2,25,Rincon,Carlos Calvo,3,26
Azopardo y Mexico,Virrey Liniers y C.Calvo,5.02,2010,Junio,-23,Azopardo,Mexico,2,25,Virrey Liniers,C.Calvo,4,27
Azopardo y Mexico,Billinghurst y Peron,5.439,2010,Junio,-457,Azopardo,Mexico,2,25,Billinghurst,Peron,5,28
Azopardo y Mexico,Del Libertador y Montevideo,3.707,2010,Junio,-256,Azopardo,Mexico,2,25,Del Libertador,Montevideo,6,10
Azopardo y Mexico,Corredor Norte y Casares,6.326,2010,Junio,-201,Azopardo,Mexico,2,25,Corredor Norte,Casares,7,29
Azopardo y Mexico,EEUU y 33 Orientales,6.048,2010,Junio,250,Azopardo,Mexico,2,25,EEUU,33 Orientales,8,30
Azopardo y Mexico,F. Alcorta y Derecho,4.588,2010,Junio,-436,Azopardo,Mexico,2,25,F. Alcorta,Derecho,9,31
Azopardo y Mexico,Montevideo y Peron,2.933,2010,Junio,183,Azopardo,Mexico,2,25,Montevideo,Peron,10,28
Azopardo y Mexico,Cnel. Diaz y Mansilla,6.721,2010,Junio,259,Azopardo,Mexico,2,25,Cnel. Diaz,Mansilla,11,32
Azopardo y Mexico,Arenales y Montevideo,4.413,2010,Junio,71,Azopardo,Mexico,2,25,Arenales,Montevideo,12,10
Rincon y Carlos Calvo,Virrey Liniers y C.Calvo,1.72,2010,Junio,578,Rincon,Carlos Calvo,3,26,Virrey Liniers,C.Calvo,4,27
Rincon y Carlos Calvo,Billinghurst y Peron,3.334,2010,Junio,144,Rincon,Carlos Calvo,3,26,Billinghurst,Peron,5,28
Rincon y Carlos Calvo,Del Libertador y Montevideo,4.868,2010,Junio,345,Rincon,Carlos Calvo,3,26,Del Libertador,Montevideo,6,10
Rincon y Carlos Calvo,Corredor Norte y Casares,6.572,2010,Junio,400,Rincon,Carlos Calvo,3,26,Corredor Norte,Casares,7,29
Rincon y Carlos Calvo,EEUU y 33 Orientales,2.748,2010,Junio,851,Rincon,Carlos Calvo,3,26,EEUU,33 Orientales,8,30
Rincon y Carlos Calvo,F. Alcorta y Derecho,5.041,2010,Junio,165,Rincon,Carlos Calvo,3,26,F. Alcorta,Derecho,9,31
