Origen,Destino,Distancia[km],Calle 1,Calle 2,Calle 1 id,Calle 2 id
Arenales y Montevideo,Gorriti y G. Cruz,5.555,Gorriti,G. Cruz,21,37
Arenales y Montevideo,11 de Sep y Monroe,8.51,11 de Sep,Monroe,22,38
Arenales y Montevideo,M.T. Alvear y Uriburu,1.103,M.T. Alvear,Uriburu,23,39
Arenales y Montevideo,La Pampa y Superi,8.774,La Pampa,Superi,24,40
Potosi y Rawson,J. Alvarez y Padilla,1.781,J. Alvarez,Padilla,18,34
Potosi y Rawson,Chile y Tacuari,5.572,Chile,Tacuari,19,35
Potosi y Rawson,Serrano y Loyola,2.743,Serrano,Loyola,20,36
Potosi y Rawson,Gorriti y G. Cruz,3.419,Gorriti,G. Cruz,21,37
Potosi y Rawson,11 de Sep y Monroe,9.191,11 de Sep,Monroe,22,38
Potosi y Rawson,M.T. Alvear y Uriburu,3.669,M.T. Alvear,Uriburu,23,39
Potosi y Rawson,La Pampa y Superi,6.747,La Pampa,Superi,24,40
J. Alvarez y Padilla,Chile y Tacuari,7.167,Chile,Tacuari,19,35
J. Alvarez y Padilla,Serrano y Loyola,1.517,Serrano,Loyola,20,36
J. Alvarez y Padilla,Gorriti y G. Cruz,2.785,Gorriti,G. Cruz,21,37
J. Alvarez y Padilla,11 de Sep y Monroe,8.561,11 de Sep,Monroe,22,38
J. Alvarez y Padilla,M.T. Alvear y Uriburu,4.821,M.T. Alvear,Uriburu,23,39
J. Alvarez y Padilla,La Pampa y Superi,5.522,La Pampa,Superi,24,40
Chile y Tacuari,Serrano y Loyola,7.765,Serrano,Loyola,20,36
Chile y Tacuari,Gorriti y G. Cruz,7.907,Gorriti,G. Cruz,21,37
Chile y Tacuari,11 de Sep y Monroe,11.264,11 de Sep,Monroe,22,38
Chile y Tacuari,M.T. Alvear y Uriburu,4.013,M.T. Alvear,Uriburu,23,39
Chile y Tacuari,La Pampa y Superi,11.126,La Pampa,Superi,24,40
Serrano y Loyola,Gorriti y G. Cruz,1.079,Gorriti,G. Cruz,21,37
Serrano y Loyola,11 de Sep y Monroe,6.856,11 de Sep,Monroe,22,38
Serrano y Loyola,M.T. Alvear y Uriburu,4.255,M.T. Alvear,Uriburu,23,39
Serrano y Loyola,La Pampa y Superi,4.005,La Pampa,Superi,24,40
Gorriti y G. Cruz,11 de Sep y Monroe,5.774,11 de Sep,Monroe,22,38
Gorriti y G. Cruz,M.T. Alvear y Uriburu,3.826,M.T. Alvear,Uriburu,23,39
Gorriti y G. Cruz,La Pampa y Superi,3.649,La Pampa,Superi,24,40
11 de Sep y Monroe,M.T. Alvear y Uriburu,8.22,M.T. Alvear,Uriburu,23,39
11 de Sep y Monroe,La Pampa y Superi,2.622,La Pampa,Superi,24,40
M.T. Alvear y Uriburu,La Pampa y Superi,7.781,La Pampa,Superi,24,40
